candidate_id,rho,world,arm,gamma,matched_positive_cosine,recovered_fraction_cosine_095,mixing_energy,signed_hub_leakage,support_f1,support_macro_f1,hard_l0,expected_l0,hard_latent_relative_error,hard_mse,mean_mse,sampled_expected_mse,hard_ev,c_dec
rho-0.4_world210_amortized_g0_s2000,-0.4,210,amortized,0.0,0.600754624053439,0.6,0.4002578172470145,-0.0028992872576335386,0.7331410050392151,0.7483831644058228,2.6341552734375,3.5617876052856445,0.7265205979347229,0.0011123714502900839,0.0010274446103721857,0.0025511765852570534,0.9821125268936157,0.016854187207175984
rho-0.4_world210_optimized_mf_g0_s2000,-0.4,210,optimized_mf,0.0,0.9996589777506234,1.0,0.0005886503989886771,-0.016517430603894608,0.9841341376304626,0.9842941164970398,2.06341552734375,3.451843023300171,0.08954278379678726,0.0010953235905617476,0.0011239920277148485,0.002435272093862295,0.9823866486549377,0.019423275119126043
rho-0.4_world210_exact32_g0_s2000,-0.4,210,exact32,0.0,0.9996493547132019,1.0,0.0005976796044598442,-0.016607853205802506,0.9850961565971375,0.9851967096328735,2.0594482421875,3.4518821239471436,0.08924037963151932,0.0010964643443003297,0.0011243100743740797,0.002436042530462146,0.9823683500289917,0.019628233636348018
rho-0.4_world210_amortized_g1_s2000,-0.4,210,amortized,4.0,0.5987669630980916,0.0,0.6184013051762696,-0.09476966548572864,0.28158077597618103,0.2794174253940582,0.359375,0.48135870695114136,0.9152212142944336,0.04168664664030075,0.03607463836669922,0.042711369693279266,0.3296588063240051,0.3435220519723624
rho-0.4_world210_optimized_mf_g1_s2000,-0.4,210,optimized_mf,4.0,0.5241357329765484,0.0,0.6721174742162335,-0.16088258713725873,0.31276655197143555,0.30848103761672974,0.419677734375,0.5225310921669006,0.9213624596595764,0.037531204521656036,0.034480709582567215,0.037841565907001495,0.3964802622795105,0.3307458414996806
rho-0.4_world210_exact32_g1_s2000,-0.4,210,exact32,4.0,0.5197602632338849,0.0,0.67153196508674,-0.17151815913936058,0.3235926926136017,0.3195064961910248,0.44061279296875,0.5316113233566284,0.9189175367355347,0.036664292216300964,0.03357979655265808,0.037343285977840424,0.41042065620422363,0.3499008042435664
rho-0.4_world210_amortized_g2_s2000,-0.4,210,amortized,8.0,0.4527003639599035,0.0,0.6358711797338887,-0.12819811450214144,0.0,0.0,0.0,0.0442667156457901,1.0,0.062305040657520294,0.060432396829128265,0.06136671453714371,-0.001894831657409668,0.7840053216207007
rho-0.4_world210_optimized_mf_g2_s2000,-0.4,210,optimized_mf,8.0,0.5536200011708419,0.0,0.691714306432087,0.13480722666352057,0.03921451419591904,0.038997821509838104,0.03997802734375,0.058167047798633575,0.9887950420379639,0.05859073996543884,0.05587351322174072,0.05774487182497978,0.05783289670944214,0.3584012466989871
rho-0.4_world210_exact32_g2_s2000,-0.4,210,exact32,8.0,0.5523510360708757,0.0,0.6930312098997441,0.1350875179002493,0.03933189809322357,0.03911552578210831,0.04010009765625,0.05852165073156357,0.9887826442718506,0.05858011916279793,0.05586035177111626,0.057738594710826874,0.05800372362136841,0.35954847960021535
rho-0.4_world211_amortized_g0_s2000,-0.4,211,amortized,0.0,0.6003344060991554,0.6,0.40037743731742115,-0.271412649358438,0.7499240040779114,0.7648499011993408,2.42144775390625,3.565645694732666,0.7258723378181458,0.0010719036217778921,0.0010434978175908327,0.0025668670423328876,0.9827578663825989,0.02070408359633053
rho-0.4_world211_optimized_mf_g0_s2000,-0.4,211,optimized_mf,0.0,0.5578846264371762,0.2,0.08909272586231165,-0.3261642772045262,0.6383887529373169,0.6392706632614136,3.46124267578125,3.442678689956665,0.564113199710846,0.0023814167361706495,0.0027159128803759813,0.004551312420517206,0.9616937041282654,0.16102232946099906
rho-0.4_world211_exact32_g0_s2000,-0.4,211,exact32,0.0,0.5575532035156664,0.0,0.08935980475008691,-0.3270375119773097,0.7126064300537109,0.7339926958084106,2.9722900390625,3.4416141510009766,0.5570404529571533,0.002255696104839444,0.0027176253497600555,0.004557539708912373,0.9637159705162048,0.16263752695661698
rho-0.4_world211_amortized_g1_s2000,-0.4,211,amortized,4.0,0.5938138809278316,0.0,0.6448299178139798,-0.370661926837911,0.3235851526260376,0.3220611810684204,0.38677978515625,0.5215263962745667,0.8974323868751526,0.03894626349210739,0.03387220948934555,0.040586184710264206,0.37352949380874634,0.3110250716734222
rho-0.4_world211_optimized_mf_g1_s2000,-0.4,211,optimized_mf,4.0,0.5788388262768096,0.0,0.6523942819553046,-0.4600694906795367,0.37159639596939087,0.3643823564052582,0.45562744140625,0.5466563701629639,0.8835416436195374,0.0357142873108387,0.03300737589597702,0.03626731410622597,0.4255174994468689,0.4303033939094229
rho-0.4_world211_exact32_g1_s2000,-0.4,211,exact32,4.0,0.5134647435307251,0.0,0.7189728946456662,-0.4244922012742488,0.3308422565460205,0.33077138662338257,0.42083740234375,0.5267999172210693,0.9086418747901917,0.036476485431194305,0.03296410292387009,0.036307789385318756,0.4132571220397949,0.47837085773029775
rho-0.4_world211_amortized_g2_s2000,-0.4,211,amortized,8.0,0.43128586654919515,0.0,0.6534477419768765,-0.13114086726895258,0.0,0.0,0.0,0.04635992646217346,1.0,0.06228642910718918,0.06031916290521622,0.06130265071988106,-0.001909017562866211,0.7620371412207058
rho-0.4_world211_optimized_mf_g2_s2000,-0.4,211,optimized_mf,8.0,0.5426899085263756,0.0,0.7009569023982516,-0.10767929395715548,0.03949418663978577,0.039159249514341354,0.04022216796875,0.0586252436041832,0.9885779619216919,0.05850021913647652,0.05572856590151787,0.05761291831731796,0.058994174003601074,0.3882038038074302
rho-0.4_world211_exact32_g2_s2000,-0.4,211,exact32,8.0,0.5438225415315018,0.0,0.6993442909806636,-0.10865890911543118,0.040081482380628586,0.03973821923136711,0.04083251953125,0.05957110971212387,0.9884387254714966,0.05845175310969353,0.05568084865808487,0.05758719518780708,0.05977374315261841,0.39300745555748035
rho-0.4_world212_amortized_g0_s2000,-0.4,212,amortized,0.0,0.9997521933509865,1.0,0.0003316548093491578,-0.013406342379416979,0.9343090653419495,0.9351016879081726,2.275390625,3.444594383239746,0.09924919903278351,0.0011237915605306625,0.0009828840848058462,0.0024005486629903316,0.981927752494812,0.012582065864637565
rho-0.4_world212_optimized_mf_g0_s2000,-0.4,212,optimized_mf,0.0,0.9996636921999148,1.0,0.0006057933335265053,-0.016573506200044035,0.990829586982727,0.9909287691116333,2.03179931640625,3.4464735984802246,0.08663950115442276,0.0010256755631417036,0.001111833844333887,0.0024321710225194693,0.9835056066513062,0.018815959839438158
rho-0.4_world212_exact32_g0_s2000,-0.4,212,exact32,0.0,0.9996663477981549,1.0,0.0006113125523539598,-0.016701142430559538,0.9914005994796753,0.9914861917495728,2.02947998046875,3.446596622467041,0.08661803603172302,0.0010280458955094218,0.0011152355000376701,0.002432496752589941,0.9834675192832947,0.018877088082381616
rho-0.4_world212_amortized_g1_s2000,-0.4,212,amortized,4.0,0.593312711223833,0.0,0.6449295274187691,-0.375308225374327,0.3220069706439972,0.32042717933654785,0.386962890625,0.5214865207672119,0.8996936082839966,0.038778554648160934,0.03362588211894035,0.04028821736574173,0.3763831853866577,0.3003675370841291
rho-0.4_world212_optimized_mf_g1_s2000,-0.4,212,optimized_mf,4.0,0.3962441532737905,0.0,0.6559300124404718,-0.49757512301109286,0.28189563751220703,0.28119462728500366,0.44830322265625,0.5481733679771423,0.9663513898849487,0.03442539647221565,0.031681083142757416,0.03422463312745094,0.44638848304748535,0.5012474402443878
rho-0.4_world212_exact32_g1_s2000,-0.4,212,exact32,4.0,0.3875297241107396,0.0,0.6577439438015512,-0.5099602337982432,0.2938517928123474,0.2921130657196045,0.463134765625,0.5581989288330078,0.9621677994728088,0.03390868380665779,0.030423099175095558,0.034002918750047684,0.45469796657562256,0.5189838830488955
rho-0.4_world212_amortized_g2_s2000,-0.4,212,amortized,8.0,0.6262603606537592,0.0,0.5986627237758251,-0.41950949532645904,0.0,0.0,0.0,0.04416993260383606,1.0,0.062302540987730026,0.060406893491744995,0.061359357088804245,-0.0019174814224243164,0.6763942811203435
rho-0.4_world212_optimized_mf_g2_s2000,-0.4,212,optimized_mf,8.0,0.5181510682169778,0.0,0.7312500574312525,-0.31518284819324976,0.06712203472852707,0.06691982597112656,0.06927490234375,0.07743437588214874,0.9822148680686951,0.05590911582112312,0.05375577136874199,0.05581801384687424,0.10089832544326782,0.42450485148731554
rho-0.4_world212_exact32_g2_s2000,-0.4,212,exact32,8.0,0.5373494784996018,0.0,0.7107577591161804,-0.32491239415581397,0.06580660492181778,0.0656476765871048,0.06787109375,0.08245435357093811,0.981478750705719,0.056184954941272736,0.05320539325475693,0.05571849271655083,0.09646248817443848,0.39249456317106923
rho+0.4_world210_amortized_g0_s2000,0.4,210,amortized,0.0,0.9996185537389751,1.0,0.000735250086545114,0.020650171939324342,0.9660453200340271,0.9688878059387207,2.1429443359375,3.4548370838165283,0.09342016279697418,0.0011809421703219414,0.0010369844967499375,0.0024381449911743402,0.9810182452201843,0.021648265846253355
rho+0.4_world210_optimized_mf_g0_s2000,0.4,210,optimized_mf,0.0,0.9995246266795981,1.0,0.000932099554805621,0.024091238960066978,0.9649796485900879,0.9678204655647278,2.14752197265625,3.4559972286224365,0.09367100894451141,0.0011691825930029154,0.0011412755120545626,0.002436866518110037,0.9812073111534119,0.023721264339237
rho+0.4_world210_exact32_g0_s2000,0.4,210,exact32,0.0,0.999517005414322,1.0,0.0009478028622925238,0.024326010591300743,0.9587047100067139,0.9620593786239624,2.1746826171875,3.4560697078704834,0.09489522129297256,0.0011703303316608071,0.0011421672534197569,0.0024373861961066723,0.9811888337135315,0.023944263622513944
rho+0.4_world210_amortized_g1_s2000,0.4,210,amortized,4.0,0.658704763880045,0.0,0.5589720736918169,0.3055684419372088,0.34829145669937134,0.34657424688339233,0.427001953125,0.5367375612258911,0.8861197829246521,0.03647872433066368,0.03164670988917351,0.03862375766038895,0.41366374492645264,0.3579149157465197
rho+0.4_world210_optimized_mf_g1_s2000,0.4,210,optimized_mf,4.0,0.5561899608719323,0.0,0.6874736988762571,0.6268250159148446,0.3183406889438629,0.3162647485733032,0.39019775390625,0.47994711995124817,0.918795108795166,0.035086654126644135,0.032966598868370056,0.03504981845617294,0.4360390305519104,0.5749763208915785
rho+0.4_world210_exact32_g1_s2000,0.4,210,exact32,4.0,0.5644983309571969,0.0,0.6779131229905513,0.6072457466946343,0.32119783759117126,0.3198602497577667,0.40692138671875,0.48346155881881714,0.9190839529037476,0.03449709713459015,0.03198480233550072,0.035085875540971756,0.4455152153968811,0.5842285701581098
rho+0.4_world210_amortized_g2_s2000,0.4,210,amortized,8.0,0.39808548288309453,0.0,0.7333059500991561,0.32197407772684117,0.0,0.0,0.0,0.049084000289440155,1.0,0.062364716082811356,0.059917062520980835,0.06108751893043518,-0.002411484718322754,0.887057980472466
rho+0.4_world210_optimized_mf_g2_s2000,0.4,210,optimized_mf,8.0,0.5080504662618288,0.0,0.741543179677145,0.5241788665686838,0.10894941538572311,0.10876206308603287,0.11541748046875,0.11928924918174744,0.9734688997268677,0.051423538476228714,0.049347348511219025,0.05173569172620773,0.17345017194747925,0.5604865901427702
rho+0.4_world210_exact32_g2_s2000,0.4,210,exact32,8.0,0.4891124547706779,0.0,0.7600357467850258,0.5090491713905684,0.11015094071626663,0.11014679819345474,0.11669921875,0.12281119078397751,0.9742874503135681,0.05102188512682915,0.04903861880302429,0.05132807046175003,0.17990607023239136,0.6088534172221799
rho+0.4_world211_amortized_g0_s2000,0.4,211,amortized,0.0,0.6570996135864908,0.6,0.4289154543777385,-0.030026239232124843,0.7508417367935181,0.7607730031013489,3.08612060546875,3.4584555625915527,0.5877557396888733,0.002226871205493808,0.0027717582415789366,0.005100436974316835,0.9641155004501343,0.12532889201533845
rho+0.4_world211_optimized_mf_g0_s2000,0.4,211,optimized_mf,0.0,0.9996272244612016,1.0,0.0007381344297463066,0.02078554812415121,0.9988508820533752,0.998853862285614,1.994140625,3.450517177581787,0.08890223503112793,0.0011844696709886193,0.001128608942963183,0.0024164807982742786,0.9809131026268005,0.021423409255332426
