method,method_label,control_name,control_value,amplitude_shrinkage,average_l0,checkpoint_step,checkpoint_training_loss,clean_reconstruction_error,dead_feature_window,dead_fraction,decoder_recovery_cosine,decoder_recovery_ground_truth,decoder_recovery_sae,expected_l0,explained_variance,generalization_error,ground_truth_expected_l0,ground_truth_match_coverage,ground_truth_num_features,init_seed,input_dim,l1_raw_relu_rho_model,l1_raw_relu_selection_error,l1_raw_relu_sigma_sel,mask_uncertainty,matched_decoder_recovery_cosine,matched_latent_count,mean_activation,paper_style_sigma_sel,reconstruction_error,reconstruction_mse,rho_model,sae_latent_match_coverage,sae_width,selection_error,support_average_precision,support_density,support_f1,support_precision,support_recall,support_roc_auc,target_model_density,train_steps,union_width,unmatched_ground_truth_features,unmatched_sae_latents,l1_gmm_threshold,l1_raw_relu_density,n_seeds
vgsae,VG-SAE,gamma,2.5,0.17496902975396225,1.4453125,999.0,-2.9071807861328125,0.48040878772735596,100.0,0.0,0.677706778049469,0.677706778049469,0.677706778049469,11.983662605285645,0.7499356865882874,0.9816645597134276,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.07699265224714458,0.677706778049469,128.0,0.05206392705440521,0.08473381527110768,0.48040878772735596,0.3648696541786194,0.0936223715543747,1.0,128.0,0.1686533299303714,0.15011067041010878,0.1,0.0631347790282734,0.3108108108108108,0.03513596089214788,0.5808605232587439,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,2.0,0.20382146924775282,2.859375,999.0,-4.220073699951172,0.39410021901130676,100.0,0.0,0.6675909757614136,0.6675909757614136,0.6675909757614136,18.527137756347656,0.8317158818244934,1.0175415800481313,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.11169812534609208,0.6675909757614136,128.0,0.0662636011838913,0.12329816554164515,0.39410021901130676,0.2455439269542694,0.14474326372146606,1.0,128.0,0.20844669902771584,0.1441079262617811,0.1,0.10511860174781522,0.287568306010929,0.06431408493736633,0.55347492314745,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,1.75,0.4245483682725493,5.125,999.0,-5.457176208496094,0.294458270072937,100.0,0.0,0.6164931654930115,0.6164931654930115,0.6164931654930115,23.380084991455078,0.9060541987419128,1.0797446585096921,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.12950114739093163,0.6164931654930115,128.0,0.08185341209173203,0.14749764228873843,0.294458270072937,0.13707660138607025,0.182656928896904,1.0,128.0,0.23670916371750467,0.15053997957276105,0.1,0.15027262813522355,0.2625762195121951,0.10525511762908646,0.5278623751885738,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,1.5,0.6437005928958438,8.466796875,999.0,-7.600715637207031,0.21374335885047913,100.0,0.0,0.5599147081375122,0.5599147081375122,0.5599147081375122,29.275728225708008,0.9504988789558411,1.1499698050321285,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.1445133116630728,0.5599147081375122,128.0,0.10021359473466873,0.1718439803477066,0.21374335885047913,0.07222726196050644,0.2287166267633438,1.0,128.0,0.2718221532158128,0.15114448327824695,0.1,0.1810495358882456,0.22722029988465975,0.15047357164680722,0.5243714322990837,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,1.25,0.49752595508258335,10.224609375,999.0,-9.107429504394531,0.23483720421791077,100.0,0.0,0.567500650882721,0.567500650882721,0.567500650882721,34.93094253540039,0.9402464628219604,1.199787910305559,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.16364062354519376,0.567500650882721,128.0,0.10780975222587585,0.19229558242265035,0.23483720421791077,0.08718658983707428,0.27289798855781555,1.0,128.0,0.30977816584370277,0.13692877587883356,0.1,0.16840675664205076,0.1894937917860554,0.15154292697830737,0.5048260314541135,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,1.0,1.6279998362624633,13.46875,999.0,-11.206794738769531,0.1538410633802414,100.0,0.0,0.5748705267906189,0.5748705267906189,0.5748705267906189,42.176021575927734,0.9743566513061523,1.3167602541521488,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.17883038191873113,0.5748705267906189,128.0,0.12961521744728088,0.2071361202760276,0.1538410633802414,0.03741626441478729,0.3295001685619354,1.0,128.0,0.3555882047757734,0.13147285622540603,0.1,0.15563160244011306,0.15168213457076565,0.15979223953559427,0.5119254885697613,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,0.75,0.9257926551972453,17.19921875,999.0,-13.83919906616211,0.11135490983724594,100.0,0.0,0.5757735967636108,0.5757735967636108,0.5757735967636108,50.07270812988281,0.9865646362304688,1.6042807339655336,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.19246130478583487,0.5757735967636108,128.0,0.1657123863697052,0.21621509499515323,0.11135490983724594,0.019603542983531952,0.3911930322647095,1.0,128.0,0.4118318731734591,0.10421853990186655,0.1,0.12454403335070349,0.1085623438564615,0.14604338527344943,0.4929077551348504,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,0.5,6.733657203168833,21.705078125,999.0,-25.470726013183594,0.08962889760732651,100.0,0.0,0.5952134132385254,0.5952134132385254,0.5952134132385254,59.81753921508789,0.9912958741188049,2.6079977895757787,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.1992515058827879,0.5952134132385254,128.0,0.35125136375427246,0.20765128934916105,0.08962889760732651,0.01270024012774229,0.46732449531555176,1.0,128.0,0.4677216603322086,0.12610006002941856,0.1,0.16739339713460558,0.13299739044362457,0.2257867399938894,0.5165277486223306,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,0.35,6.255370886789853,23.943359375,999.0,-24.400062561035156,0.07204091548919678,100.0,0.0,0.6016921997070312,0.6016921997070312,0.6016921997070312,63.56953048706055,0.9943767189979553,2.8516897731722293,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.20460929008850876,0.6016921997070312,128.0,0.3882257342338562,0.2114634764617265,0.07204091548919678,0.00820491835474968,0.49663692712783813,1.0,128.0,0.49360085115637947,0.11832414255965189,0.1,0.15793671895772404,0.12113549229137777,0.22685609532538956,0.517431298587844,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
vgsae,VG-SAE,gamma,0.25,5.972821397913612,28.76171875,999.0,-29.717063903808594,0.058803491294384,100.0,0.0,0.6043803691864014,0.6043803691864014,0.6043803691864014,65.64728546142578,0.9962534308433533,2.9078422718919588,12.800000190734863,1.0,128.0,101000.0,16.0,nan,nan,nan,0.20923098645701593,0.6043803691864014,128.0,0.40452146530151367,0.2157154264982331,0.058803491294384,0.005466660484671593,0.5128694772720337,1.0,128.0,0.5062797106293448,0.12192858010516633,0.1,0.16162091011658516,0.11673231019964689,0.2626031164069661,0.5139255712322517,0.10000000149011612,1000.0,128.0,0.0,0.0,nan,nan,1
