method,run_id,seed,control_name,control_value,checkpoint_kind,metric_schema_version,checkpoint_size,checkpoint_mtime_ns,metric_definition,decoder_pairwise_cosine_similarity
batchtopk,batchtopk_k=8.0_seed=0,0,k,8.0,last,1,1059183,1786569991994863329,Sparse but Wrong Eq. (4),0.07985893335530482
batchtopk,batchtopk_k=80.0_seed=0,0,k,80.0,last,1,1059183,1786569989298824328,Sparse but Wrong Eq. (4),0.11415123673133773
batchtopk,batchtopk_k=88.0_seed=0,0,k,88.0,last,1,1059183,1786569984898760666,Sparse but Wrong Eq. (4),0.10841229968271386
batchtopk,batchtopk_k=96.0_seed=0,0,k,96.0,last,1,1059183,1786569992970877448,Sparse but Wrong Eq. (4),0.1041046910116504
gated,gated_l1_coefficient=0.005_seed=0,0,l1_coefficient,0.005,last,1,1067629,1786570027127371143,Sparse but Wrong Eq. (4),0.07041968198592782
gated,gated_l1_coefficient=0.0125_seed=0,0,l1_coefficient,0.0125,last,1,1067629,1786570026627363921,Sparse but Wrong Eq. (4),0.07081227190640572
gated,gated_l1_coefficient=0.015_seed=0,0,l1_coefficient,0.015,last,1,1067629,1786570027131371200,Sparse but Wrong Eq. (4),0.07106980520960979
gated,gated_l1_coefficient=0.01_seed=0,0,l1_coefficient,0.01,last,1,1067629,1786570027031369756,Sparse but Wrong Eq. (4),0.07132959050153535
gated,gated_l1_coefficient=0.025_seed=0,0,l1_coefficient,0.025,last,1,1067629,1786570026575363170,Sparse but Wrong Eq. (4),0.07024678391160355
gated,gated_l1_coefficient=0.02_seed=0,0,l1_coefficient,0.02,last,1,1067629,1786570026471361668,Sparse but Wrong Eq. (4),0.0706056514713423
gated,gated_l1_coefficient=0.03_seed=0,0,l1_coefficient,0.03,last,1,1067629,1786570026355359992,Sparse but Wrong Eq. (4),0.07043588732991342
gated,gated_l1_coefficient=0.05_seed=0,0,l1_coefficient,0.05,last,1,1067629,1786570026567363054,Sparse but Wrong Eq. (4),0.07037292287071499
gated,gated_l1_coefficient=0.07_seed=0,0,l1_coefficient,0.07,last,1,1067629,1786570024955339769,Sparse but Wrong Eq. (4),0.07067573146328993
gated,gated_l1_coefficient=0.0_seed=0,0,l1_coefficient,0.0,last,1,1067629,1786570027715379636,Sparse but Wrong Eq. (4),0.06996488663904142
gated,gated_l1_coefficient=0.15_seed=0,0,l1_coefficient,0.15,last,1,1067629,1786570026499362072,Sparse but Wrong Eq. (4),0.07153953201550982
gated,gated_l1_coefficient=0.1_seed=0,0,l1_coefficient,0.1,last,1,1067629,1786570026367360166,Sparse but Wrong Eq. (4),0.07111884539797432
gated,gated_l1_coefficient=0.2_seed=0,0,l1_coefficient,0.2,last,1,1067629,1786570026079356006,Sparse but Wrong Eq. (4),0.07055616185931193
gated,gated_l1_coefficient=0.3_seed=0,0,l1_coefficient,0.3,last,1,1067629,1786570026283358952,Sparse but Wrong Eq. (4),0.07139049974792039
gated,gated_l1_coefficient=0.5_seed=0,0,l1_coefficient,0.5,last,1,1067629,1786570023507318852,Sparse but Wrong Eq. (4),0.0719561704891086
gated,gated_l1_coefficient=1.0_seed=0,0,l1_coefficient,1.0,last,1,1067629,1786570023879324226,Sparse but Wrong Eq. (4),0.07264541862173829
gated,gated_l1_coefficient=10.0_seed=0,0,l1_coefficient,10.0,last,1,1067629,1786570024255329658,Sparse but Wrong Eq. (4),0.08296452396104145
