run_id,seed,init_seed,input_dim,ground_truth_num_features,sae_width,support_density,method,method_label,control_name,control_value,train_device,train_source_fingerprint,train_pipeline_fingerprint,step,loss,lr,reconstruction_mse,reconstruction_loss,variance_loss,prior_loss,entropy_loss,entropy,rho,v_eff,beta,sparsity_loss,auxiliary_loss,mse_loss,l1_loss,auxiliary_reconstruction_loss,threshold,l0_loss
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,0.0,47.748661041259766,0.01,0.41852372884750366,3.3481898307800293,8.61461353302002,93.43231964111328,-48.90254592895508,48.90254592895508,0.1445668786764145,0.1149781346321106,0.6687396168708801,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,25.0,9.526016235351562,0.01,0.15269038081169128,1.2215230464935303,2.7042019367218018,89.79985809326172,-74.57872009277344,74.57872009277344,0.42835307121276855,0.1993994563817978,2.0378403663635254,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,50.0,-1.3934555053710938,0.01,0.08032797276973724,0.642623782157898,1.862156867980957,88.86740112304688,-80.97093200683594,80.97093200683594,0.5012011528015137,0.22156204283237457,3.19389271736145,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,75.0,-5.743415832519531,0.01,0.06238207966089249,0.4990566372871399,1.4268524646759033,88.48043060302734,-82.83149719238281,82.83149719238281,0.53143310546875,0.22843129932880402,4.1538825035095215,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,100.0,-8.001327514648438,0.01,0.04755471646785736,0.3804377317428589,1.087438702583313,88.15042114257812,-82.58674621582031,82.58674621582031,0.5572150945663452,0.22803568840026855,5.450050354003906,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,125.0,-9.610237121582031,0.01,0.037426404654979706,0.29941123723983765,0.9022209644317627,88.1953125,-82.63946533203125,82.63946533203125,0.5537083148956299,0.22864577174186707,6.65761137008667,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,150.0,-10.674972534179688,0.01,0.034627631306648254,0.27702105045318604,0.7278507947921753,88.06680297851562,-82.14512634277344,82.14512634277344,0.5637480020523071,0.22720494866371155,7.961214065551758,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,175.0,-11.394622802734375,0.01,0.03243434429168701,0.2594747543334961,0.6225956678390503,88.0267105102539,-81.78193664550781,81.78193664550781,0.5668802857398987,0.2262372225522995,9.069570541381836,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,200.0,-12.179374694824219,0.01,0.0264508705586195,0.211606964468956,0.5463792085647583,87.98468017578125,-81.31180572509766,81.31180572509766,0.5701639652252197,0.2249118983745575,10.554282188415527,,,,,,,
vgsae_gamma=-0.1_seed=1,1,101000,16,128,128,0.1,vgsae,VG-SAE,gamma,-0.1,cuda:2,fd63bc87fd3badec9fb0796e6d6457705f8069a6838216d11ca0f9a1c67d02c5,d76babe29ed739203d4387cdb65c440b17c463f759dab6811dde961669a04911,225.0,-12.711677551269531,0.01,0.023436009883880615,0.18748807907104492,0.477816641330719,87.94120025634766,-80.75726318359375,80.75726318359375,0.5735604763031006,0.22335880994796753,12.024564743041992,,,,,,,
