seed,width,prior_mode,gamma,group,mean_count,expected_count_removed,raw_decoded_energy_ratio,decoded_variation_ratio,raw_deletion_ev_loss,train_mean_preserving_deletion_ev_loss
0,32,fixed_pi,2.70805020110221,near_prior_logodds025,9.029296875,0.560540497303009,0.00036939827259629965,0.00033127018832601607,0.00310325575992465,0.00297914887778461
0,32,fixed_pi,2.70805020110221,all_subthreshold,30.5224609375,1.789717674255371,0.00835209246724844,0.007681622635573149,0.03613029420375824,0.03574290871620178
0,32,fixed_pi,2.70805020110221,random_same_count,9.029296875,0.7211081981658936,0.12135139107704163,0.12057846039533615,0.13738584518432617,0.13698501884937286
0,32,fixed_pi,2.70805020110221,smallest_ma_same_count,9.029296875,0.2487611472606659,4.2318144551245496e-05,3.712018224177882e-05,-0.0007641391130164266,-0.0007998053333722055
0,64,fixed_pi,2.70805020110221,near_prior_logodds025,38.4111328125,2.3992319107055664,0.002738678129389882,0.000977683812379837,0.009016782976686954,0.006578514352440834
0,64,fixed_pi,2.70805020110221,all_subthreshold,62.65673828125,3.8166086673736572,0.010111100040376186,0.009714408777654171,0.04203857108950615,0.04151083901524544
0,64,fixed_pi,2.70805020110221,random_same_count,38.4111328125,2.8588485717773438,0.3414119482040405,0.33865150809288025,0.38157540559768677,0.3796204626560211
0,64,fixed_pi,2.70805020110221,smallest_ma_same_count,38.4111328125,1.9121595621109009,0.001467156340368092,0.0004040446656290442,0.0018073756946250796,0.00021116607240401208
0,64,fixed_count,3.4339872044851463,near_prior_logodds025,37.0,1.2495473623275757,0.001407865434885025,0.0004400135367177427,0.0037705206777900457,0.0024598254822194576
0,64,fixed_count,3.4339872044851463,all_subthreshold,62.765625,2.3219385147094727,0.009674100205302238,0.009346292354166508,0.04341678321361542,0.04293683543801308
0,64,fixed_count,3.4339872044851463,random_same_count,37.0,1.7568832635879517,0.24551066756248474,0.24388989806175232,0.29115670919418335,0.2896246910095215
0,64,fixed_count,3.4339872044851463,smallest_ma_same_count,37.0,1.0595241785049438,0.001147543778643012,0.00036174902925267816,0.0015189809491857886,0.0004351364332251251
0,128,fixed_pi,2.70805020110221,near_prior_logodds025,102.24169921875,6.520325660705566,0.01834156922996044,0.0034620852675288916,0.02833058312535286,0.007106772158294916
0,128,fixed_pi,2.70805020110221,all_subthreshold,126.697265625,7.910848140716553,0.03075254335999489,0.012696885503828526,0.06473388522863388,0.03953321650624275
0,128,fixed_pi,2.70805020110221,random_same_count,102.24169921875,7.13275146484375,0.6620628237724304,0.6300708055496216,0.6823351383209229,0.6422383785247803
0,128,fixed_pi,2.70805020110221,smallest_ma_same_count,102.24169921875,5.956692218780518,0.014144242741167545,0.0028192473109811544,0.017779212445020676,0.0009514882694929838
0,128,fixed_count,4.143134726391533,near_prior_logodds025,32.388671875,0.5309209227561951,0.0009578405879437923,0.0006801282870583236,0.0034950515255331993,0.0017950314795598388
0,128,fixed_count,4.143134726391533,all_subthreshold,126.9482421875,2.7704057693481445,0.023267369717359543,0.012143025174736977,0.06664247065782547,0.046440981328487396
0,128,fixed_count,4.143134726391533,random_same_count,32.388671875,0.8418222665786743,0.1374332159757614,0.13524682819843292,0.16793636977672577,0.16218017041683197
0,128,fixed_count,4.143134726391533,smallest_ma_same_count,32.388671875,0.4927175045013428,0.0008075984660536051,0.0005548152839764953,0.0029710440430790186,0.0014417404308915138
1,32,fixed_pi,2.70805020110221,near_prior_logodds025,8.392578125,0.5217093229293823,0.00035504900733940303,0.00032385275699198246,0.002860306529328227,0.0027912757359445095
1,32,fixed_pi,2.70805020110221,all_subthreshold,30.45751953125,1.792647123336792,0.008478894829750061,0.007839602418243885,0.03697976842522621,0.036667726933956146
1,32,fixed_pi,2.70805020110221,random_same_count,8.392578125,0.6607354283332825,0.0846300944685936,0.08407722413539886,0.10732072591781616,0.10711955279111862
1,32,fixed_pi,2.70805020110221,smallest_ma_same_count,8.392578125,0.2336289882659912,4.46547128376551e-05,3.7616373447235674e-05,-0.0007249893969856203,-0.000743637967389077
1,64,fixed_pi,2.70805020110221,near_prior_logodds025,38.47314453125,2.406036615371704,0.002703242702409625,0.0011081020347774029,0.008699201978743076,0.006512823980301619
1,64,fixed_pi,2.70805020110221,all_subthreshold,62.69873046875,3.7492213249206543,0.010638529434800148,0.00976593978703022,0.04036629945039749,0.038702238351106644
1,64,fixed_pi,2.70805020110221,random_same_count,38.47314453125,2.8243985176086426,0.39506301283836365,0.3913877010345459,0.40885239839553833,0.40456652641296387
1,64,fixed_pi,2.70805020110221,smallest_ma_same_count,38.47314453125,1.8822376728057861,0.0014035120839253068,0.0004903845256194472,0.0015339135425165296,0.00021285153343342245
1,64,fixed_count,3.4339872044851463,near_prior_logodds025,26.98046875,0.9037668108940125,0.0005226311623118818,0.0003184933739248663,0.0023237401619553566,0.0016813420224934816
1,64,fixed_count,3.4339872044851463,all_subthreshold,62.80419921875,2.3418331146240234,0.01048188004642725,0.009527609683573246,0.04319147765636444,0.040976282209157944
1,64,fixed_count,3.4339872044851463,random_same_count,26.98046875,1.3028191328048706,0.20281192660331726,0.20115318894386292,0.23334737122058868,0.23051860928535461
1,64,fixed_count,3.4339872044851463,smallest_ma_same_count,26.98046875,0.742064356803894,0.0004202447016723454,0.00020286337530706078,0.0004693463852163404,-0.00012412143405526876
1,128,fixed_pi,2.70805020110221,near_prior_logodds025,102.23974609375,6.373499870300293,0.016389833763241768,0.0027175904251635075,0.026815446093678474,0.008425463922321796
1,128,fixed_pi,2.70805020110221,all_subthreshold,126.615234375,7.817570209503174,0.026318134739995003,0.011604669503867626,0.06261007487773895,0.042674507945775986
1,128,fixed_pi,2.70805020110221,random_same_count,102.23974609375,7.084194660186768,0.5880164504051208,0.5680959820747375,0.627981424331665,0.6029479503631592
1,128,fixed_pi,2.70805020110221,smallest_ma_same_count,102.23974609375,5.862733840942383,0.013284336775541306,0.0020713096018880606,0.017543451860547066,0.002103890525177121
1,128,fixed_count,4.143134726391533,near_prior_logodds025,29.421875,0.483782023191452,0.0007541639497503638,0.000593736651353538,0.00299340533092618,0.0017543748253956437
1,128,fixed_count,4.143134726391533,all_subthreshold,126.94091796875,2.8892502784729004,0.021013712510466576,0.01159551553428173,0.06410747021436691,0.046421799808740616
1,128,fixed_count,4.143134726391533,random_same_count,29.421875,0.7343679070472717,0.09291674196720123,0.09193497151136398,0.11833135783672333,0.11471834033727646
1,128,fixed_count,4.143134726391533,smallest_ma_same_count,29.421875,0.45160624384880066,0.0006337008089758456,0.0004815104475710541,0.00262486026622355,0.0015228805132210255
