condition,step,train_free_energy,minibatch_free_energy
orthogonal,1,21.863948822021484,21.683435440063477
orthogonal,101,18.215356826782227,16.972442626953125
orthogonal,201,16.328136444091797,15.512325286865234
orthogonal,301,15.288814544677734,15.990182876586914
orthogonal,401,14.54120922088623,13.278928756713867
orthogonal,501,13.718623161315918,14.106681823730469
orthogonal,601,12.577920913696289,11.718879699707031
orthogonal,701,11.192300796508789,10.93226146697998
orthogonal,801,9.806702613830566,10.239744186401367
orthogonal,901,8.655633926391602,8.596364974975586
orthogonal,1001,7.721255302429199,7.343782901763916
orthogonal,1101,6.982654571533203,7.077396392822266
orthogonal,1201,6.3937153816223145,6.347747802734375
orthogonal,1301,5.911108016967773,5.704994201660156
orthogonal,1401,5.508697509765625,5.822635173797607
orthogonal,1500,5.170497417449951,5.180326461791992
coherent095,1,22.0974063873291,22.099502563476562
coherent095,101,18.370811462402344,17.450817108154297
coherent095,201,16.401466369628906,15.636423110961914
coherent095,301,15.06412124633789,15.59765338897705
coherent095,401,13.948685646057129,12.606657981872559
coherent095,501,12.902900695800781,13.51926040649414
coherent095,601,11.721399307250977,11.061137199401855
coherent095,701,10.420692443847656,10.24686050415039
coherent095,801,9.238025665283203,9.622824668884277
coherent095,901,8.270878791809082,8.222315788269043
coherent095,1001,7.485580921173096,7.128868103027344
coherent095,1101,6.857717514038086,7.12452507019043
coherent095,1201,6.345996379852295,6.256959915161133
coherent095,1301,5.918522834777832,5.715054035186768
coherent095,1401,5.557308673858643,5.828636169433594
coherent095,1500,5.250125885009766,5.206748008728027
