seed,width,prior_mode,gamma,expected_l0,hard_l0,prior_expected_l0,kl_to_prior,variance_energy,beta,expected_ev,hard_ev,hardening_distortion,hardening_residual_cross,decoder_mean_max_positive_cosine,decoder_pair_fraction_gt095,test_centered_energy,ma_effective_participation,train_seconds
0,32,fixed_pi,2.70805020110221,3.026266098022461,1.4775390625,2.0,3.7982853571369506,0.09580989181995392,25.35951042175293,0.905439161220721,0.8804772436411701,0.052603237330913544,0.04405762627720833,0.4060368537902832,0.0,3.8723340034484863,9.702350616455078,6.763741820119321
0,64,fixed_pi,2.70805020110221,4.940264701843262,1.34326171875,4.0,3.5691558198336866,0.10031865537166595,25.374473571777344,0.9043554877043392,0.8743490847597296,0.055819734930992126,0.06037504971027374,0.6960771679878235,0.005952380952380952,3.8723340034484863,16.95671272277832,6.304216114804149
0,64,fixed_count,3.4339872044851463,3.3672986030578613,1.234375,2.0,4.071856119714395,0.10207334160804749,23.518701553344727,0.8908858613476655,0.8592138277497998,0.06169379502534866,0.06095089390873909,0.6833808422088623,0.021825396825396824,3.8723340034484863,15.786453247070312,6.28968093637377
0,128,fixed_pi,2.70805020110221,8.99437427520752,1.302734375,8.0,3.440398951846691,0.11503569781780243,24.34114646911621,0.9014145554301859,0.8510320103515965,0.12804168462753296,0.06705637276172638,0.7958803176879883,0.0023375984251968506,3.8723340034484863,31.599233627319336,6.355523572769016
0,128,fixed_count,4.143134726391533,3.6558492183685303,1.0517578125,2.0000000000000004,4.428241642847194,0.11924827098846436,20.113061904907227,0.8574257348932806,0.8054053425044327,0.11866838485002518,0.08277195692062378,0.8521015644073486,0.22440944881889763,3.8723340034484863,28.898134231567383,6.315382769331336
1,32,fixed_pi,2.70805020110221,3.084074020385742,1.54248046875,2.0,3.934469838285799,0.09724925458431244,25.01218032836914,0.9036604808374666,0.878230079142969,0.05550280213356018,0.04297220706939697,0.3965114951133728,0.0,3.8723340034484863,9.694782257080078,6.23437116574496
1,64,fixed_pi,2.70805020110221,4.831209182739258,1.30126953125,4.0,3.4620215146214766,0.10369361937046051,25.112201690673828,0.8986662055914432,0.8697053875857927,0.0566130205988884,0.05553295463323593,0.6547387838363647,0.001488095238095238,3.8723340034484863,16.85342788696289,5.606581195723265
1,64,fixed_count,3.4339872044851463,3.3540797233581543,1.19580078125,2.0,3.9988250290303125,0.10372678935527802,23.203102111816406,0.8902439968584659,0.8590217301760538,0.06264601647853851,0.05825702100992203,0.6803882122039795,0.003472222222222222,3.8723340034484863,15.649852752685547,5.581994942389429
1,128,fixed_pi,2.70805020110221,8.964349746704102,1.384765625,8.0,3.570674272104011,0.11920338124036789,23.9720401763916,0.9031374613295886,0.8523437381670665,0.11831091344356537,0.0783793106675148,0.809948205947876,0.005659448818897638,3.8723340034484863,31.681060791015625,5.679823849815875
1,128,fixed_count,4.143134726391533,3.7819197177886963,1.05908203125,2.0000000000000004,4.57171548601518,0.11962392181158066,20.57707405090332,0.8649170631039298,0.8134603570330431,0.10862943530082703,0.09062814712524414,0.8476457595825195,0.28075787401574803,3.8723340034484863,29.569137573242188,5.639594535343349
