condition,method,brier,marginal_nll_per_atom,joint_support_nll,marginal_mse_to_exact,posterior_kl,free_energy,product_marginal_free_energy,product_marginal_posterior_kl,predicted_prevalence,sampled_prevalence,mean_observed_mse,hard_observed_mse,q_expected_observed_mse,mean_sampled_clean_mse,hard_sampled_clean_mse,mean_posterior_clean_risk,hard_posterior_clean_risk,fixed_point_residual,brier_active,brier_inactive,active_prevalence,fixed_point_residual_max,marginal_max_abs_to_exact
orthogonal,exact_joint,0.002778171005795983,0.010675652100249592,0.08540521680199684,0.0,0.0,1.7055303736710936,1.7055303736710932,-3.9647558206076707e-16,0.14793018896865368,0.14691162109375,0.036820283735337675,0.03918088676180874,0.039601234553246295,0.002778171005795983,0.0035400390625,0.0027809508179086253,0.0035537363967837418,2.391196286072786e-16,0.007675093250225655,0.001934864728172586,0.14691162109375,1.4432899320127035e-15,0.0
orthogonal,amortized,0.015856918806746997,0.08211267973526457,0.6569014378821165,0.013403598372910453,3.4640342913541367,5.169564665025231,5.169564665025231,3.4640342913541367,0.14385974061286003,0.14691162109375,0.03514016659670666,0.04349948382475011,0.09002270351898567,0.015856918806746997,0.01263427734375,0.016184549190819082,0.013122079142682928,0.2331861471057006,0.08822235044464684,0.003394759977783347,0.14691162109375,0.5870692481554893,0.5870692481554891
orthogonal,refined_meanfield,0.002778171005795983,0.010675652100249608,0.08540521680199686,2.1550181517031818e-32,-4.0438581099693817e-16,1.7055303736710932,1.7055303736710932,-4.0438581099693817e-16,0.1479301889686537,0.14691162109375,0.036820283735337675,0.03918088676180874,0.039601234553246274,0.002778171005795983,0.0035400390625,0.0027809508179086253,0.0035537363967837418,2.448984008748996e-19,0.007675093250225651,0.0019348647281725864,0.14691162109375,1.942890293094024e-16,1.4432899320127035e-15
coherent095,exact_joint,0.011172331435267443,0.036569078655505946,0.19357264822575115,0.0,0.0,1.5973629422473392,2.3625592664847725,0.7651963242374333,0.14769350762882902,0.14691162109375,0.03645931349311853,0.038830625328210286,0.039691339862532364,0.0032523489565626893,0.004388427734375,0.0032320263694138344,0.004379263697556935,0.06440439203462923,0.03712143862431607,0.006703597014144164,0.14691162109375,0.6629205954756605,0.0
coherent095,amortized,0.03335490844673521,0.13068833971271662,1.045506717701733,0.022442252235266025,3.63081177398546,5.2281747162328,5.2281747162328,3.63081177398546,0.14275466715438143,0.14691162109375,0.036440145819670984,0.04702092071487179,0.09038931084038654,0.016700417392583405,0.01729736328125,0.016934352399751298,0.017621631908128058,0.24030459051239605,0.16049287080859675,0.011460290473994219,0.14691162109375,0.8506307897584187,0.9616062132244771
coherent095,refined_meanfield,0.015026841077222517,0.16029626591766324,1.282370127341306,0.004291623984310048,0.06717425261733624,1.6645371948646757,1.6645371948646757,0.06717425261733624,0.14758227644254324,0.14691162109375,0.03646975300052574,0.03878562173155213,0.039233895218116474,0.003467123759871263,0.0042724609375,0.0034606650873414985,0.004231456566471553,3.029065892406534e-18,0.050191616647754414,0.008971062669962712,0.14691162109375,1.1102230246251565e-15,0.4981414305297946
