seed,width,prior_mode,gamma,readout,ev,mse_per_dimension,l0,support_f1
0,32,fixed_pi,2.70805020110221,default_hard,0.8804772436411701,0.028927002102136612,1.4775390625,0.4494097807757167
0,32,fixed_pi,2.70805020110221,same_support_mean,0.8693088630988319,0.031629983335733414,1.4775390625,0.4494097807757167
0,32,fixed_pi,2.70805020110221,top_ma_same_count,0.8696496361905919,0.031547509133815765,1.4775390625,0.44997189432265317
0,32,fixed_pi,2.70805020110221,top_m_k2_amplitude,0.833697682502854,0.04024863243103027,2.0,0.4756902027852431
0,32,fixed_pi,2.70805020110221,top_m_k2_mean,0.8177473345538097,0.04410894960165024,2.0,0.4756902027852431
0,32,fixed_pi,2.70805020110221,top_ma_k2_mean,0.8227141804828126,0.04290686920285225,2.0,0.4854629855851454
0,64,fixed_pi,2.70805020110221,default_hard,0.8743490847597296,0.030410144478082657,1.34326171875,0.47770793743604734
0,64,fixed_pi,2.70805020110221,same_support_mean,0.8623169270101871,0.033322177827358246,1.34326171875,0.47770793743604734
0,64,fixed_pi,2.70805020110221,top_ma_same_count,0.8622894669082991,0.0333288237452507,1.34326171875,0.48004677678701946
0,64,fixed_pi,2.70805020110221,top_m_k2_amplitude,0.8417791720175898,0.038292743265628815,2.0,0.5111165404348889
0,64,fixed_pi,2.70805020110221,top_m_k2_mean,0.8229877194237615,0.04284066706895828,2.0,0.5111165404348889
0,64,fixed_pi,2.70805020110221,top_ma_k2_mean,0.8270739796078574,0.041851706802845,2.0,0.5169802101148302
0,64,fixed_count,3.4339872044851463,default_hard,0.8592138277497998,0.03407319262623787,1.234375,0.4291326684799033
0,64,fixed_count,3.4339872044851463,same_support_mean,0.8474690775240543,0.03691566735506058,1.234375,0.4291326684799033
0,64,fixed_count,3.4339872044851463,top_ma_same_count,0.8478933083918441,0.03681299462914467,1.234375,0.4300392867935932
0,64,fixed_count,3.4339872044851463,top_m_k2_amplitude,0.814184524865738,0.044971223920583725,2.0,0.46884925482531153
0,64,fixed_count,3.4339872044851463,top_m_k2_mean,0.7964420512425203,0.04926527291536331,2.0,0.46884925482531153
0,64,fixed_count,3.4339872044851463,top_ma_k2_mean,0.8000031831553085,0.04840340465307236,2.0,0.4749572440752504
0,128,fixed_pi,2.70805020110221,default_hard,0.8510320103515965,0.0360533632338047,1.302734375,0.484166913287955
0,128,fixed_pi,2.70805020110221,same_support_mean,0.8366806746023487,0.03952668607234955,1.302734375,0.484166913287955
0,128,fixed_pi,2.70805020110221,top_ma_same_count,0.8366851999778842,0.0395255908370018,1.302734375,0.48535069547203313
0,128,fixed_pi,2.70805020110221,top_m_k2_amplitude,0.8315628750751305,0.04076530039310455,2.0,0.5169802101148302
0,128,fixed_pi,2.70805020110221,top_m_k2_mean,0.8069413072954102,0.04672423377633095,2.0,0.5169802101148302
0,128,fixed_pi,2.70805020110221,top_ma_k2_mean,0.8123814551711374,0.045407604426145554,2.0,0.5296848277547032
