lambda,mse,rho,v_eff,support_precision,support_recall
-1.0,0.006260442081838846,0.7412917613983154,0.19006238877773285,0.119140625,1.0
0.0,0.016882052645087242,0.5174576044082642,0.24439525604248047,0.25359911406423036,0.9385245901639344
1.0,0.044555798172950745,0.2912013530731201,0.19697707891464233,0.9821428571428571,0.22540983606557377
2.0,0.10007545351982117,0.14112842082977295,0.1110844761133194,1.0,0.14344262295081966
3.0,0.15918098390102386,0.0680866539478302,0.05426141619682312,1.0,0.0942622950819672
