seed,variant,gamma,hard_mse_delta,full_stochastic_mse_delta,hard_l0_delta,expected_mask_count_delta,signed_dictionary_cosine_delta,support_f1_delta
2403,vg_no_entropy,2.0,0.022574838250875473,0.018936190754175186,-0.680419921875,-1.6329779624938965,-0.17889994382858276,-0.1625877320766449
2403,vg_learned,4.0,-0.006726443767547607,-0.007909715175628662,0.089599609375,-0.02231442928314209,0.07558894157409668,0.047793567180633545
2403,vg_no_variance,0.0,1.0616155518218875,1.366687573492527,-0.55029296875,-0.6600971221923828,0.05424082279205322,-0.037089332938194275
2403,vg_no_entropy,0.0,-0.008546845929231495,-0.02004540484631434,1.059326171875,2.800975799560547,0.11199337244033813,-0.02769443392753601
2403,vg_no_variance,2.0,0.8079904578626156,3.348797082901001,-0.03759765625,1.649263858795166,-0.19678902626037598,-0.29959915578365326
2403,vg_learned,0.0,-0.0008167112246155739,-0.001849096268415451,-0.17041015625,-0.054886817932128906,0.059122681617736816,0.008573770523071289
2403,vg_no_variance,4.0,1.108498688787222,7.960052751004696,-0.586181640625,1.367310881614685,-0.1200067400932312,-0.2999846190214157
2403,vg_learned,2.0,-0.002042967826128006,-0.0031062960624694824,0.099853515625,-0.027861356735229492,-0.03324609994888306,-0.004462480545043945
2403,vg_no_entropy,4.0,0.09169883653521538,0.0879099890589714,-0.49609375,-0.7624044716358185,-0.22384965419769287,-0.24427632242441177
2401,vg_no_entropy,2.0,0.015016179531812668,0.011302895843982697,-0.561279296875,-1.4753563404083252,-0.11837303638458252,-0.11279013752937317
2401,vg_learned,4.0,-0.0034778788685798645,-0.00428999587893486,0.024658203125,-0.08948802947998047,0.1178709864616394,0.047934383153915405
2401,vg_no_variance,0.0,0.7688825493678451,1.3411751817911863,-0.39599609375,-1.2183122634887695,0.07324028015136719,-0.03341566026210785
2401,vg_no_entropy,0.0,-0.007324568621697836,-0.016401634871726856,1.3193359375,3.207082748413086,0.03415942192077637,-0.026017799973487854
2401,vg_no_variance,2.0,1.343260757625103,5.116291049867868,-0.583984375,1.2234516143798828,-0.10284852981567383,-0.37122754007577896
2401,vg_learned,0.0,-0.006413442315533757,-0.015305823646485806,-0.931640625,1.1728458404541016,-0.04129815101623535,0.005987882614135742
2401,vg_no_variance,4.0,1.3438168577849865,11.400988206267357,-0.726318359375,1.2308926582336426,-0.08317232131958008,-0.35580727458000183
2401,vg_learned,2.0,-0.0023520849645137787,-0.0031979233026504517,0.073974609375,-0.041066884994506836,-0.017997264862060547,0.00745043158531189
2401,vg_no_entropy,4.0,0.06676649674773216,0.06259321421384811,-0.388916015625,-0.6336084008216858,-0.2568988800048828,-0.22192835807800293
2402,vg_no_entropy,2.0,0.011167321354150772,0.007737275213003159,-0.434326171875,-1.4524683952331543,-0.10762697458267212,-0.11081421375274658
2402,vg_learned,4.0,-0.005413763225078583,-0.006071917712688446,0.02783203125,-0.07728826999664307,0.06084489822387695,0.05308735370635986
2402,vg_no_variance,0.0,0.23484934587031603,0.6074361056089401,-0.52978515625,0.413665771484375,-0.0292588472366333,-0.02688153088092804
2402,vg_no_entropy,0.0,-0.009157010295893997,-0.021138999611139297,2.245361328125,3.9815807342529297,-0.013387799263000488,-0.039024487137794495
2402,vg_no_variance,2.0,0.931416530162096,3.453040212392807,-0.830322265625,1.3426156044006348,-0.13179266452789307,-0.31623774766921997
2402,vg_learned,0.0,-0.0014009950682520866,-0.002549130469560623,0.03369140625,-0.008413314819335938,0.027737557888031006,-0.0015401840209960938
2402,vg_no_variance,4.0,1.256314404308796,9.742780074477196,-0.783203125,1.036239743232727,-0.12559771537780762,-0.3482554256916046
2402,vg_learned,2.0,-0.00037939101457595825,-0.001491393893957138,0.0400390625,-0.08928608894348145,0.009956538677215576,-0.014230072498321533
2402,vg_no_entropy,4.0,0.0330282524228096,0.03131103515625,-0.305419921875,-0.5287905931472778,-0.1349223256111145,-0.1419839709997177
