seed,method,control,index,hard_mse,clean_signal_mse,hard_l0,true_l0,signed_dictionary_cosine,recovered_fraction_095,support_f1,coefficient_nmse,seconds,expected_mask_count,hard_mask_count,effective_mean_code_count,mean_mse,full_stochastic_mse,full_variance_energy,optimized_variance_energy,entropy_per_sample,beta_eff,optimized_free_energy,prior_cost,mask_uncertainty
2403,topk,2,1,0.030305590480566025,0.029111692681908607,2.0,2.0380859375,0.8544094562530518,0.625,0.46058040857315063,0.4862281084060669,7.687709488905966,,,,,,,,,,,,
2403,vg_no_entropy,2.0,1,0.04744580388069153,0.04197246581315994,0.917724609375,2.0380859375,0.661459743976593,0.25,0.3173370659351349,0.8023954033851624,11.184930334798992,1.1731681823730469,0.917724609375,15.54443359375,0.03839851915836334,0.05156925693154335,0.05268294736742973,0.05268294736742973,1.5645217895507812,19.39139747619629,-7.482133865356445,4.377184867858887,0.4034414291381836
2403,l1,0.1,2,0.003659239038825035,0.008461559191346169,6.46337890625,2.0380859375,0.6965643167495728,0.125,0.34960657358169556,0.6939493417739868,6.568909286521375,,,,,,,,,,,,
2403,topk,1,0,0.06382663547992706,0.05888627469539642,1.0,2.0380859375,0.8142092823982239,0.5,0.37447765469551086,0.6662241816520691,7.770530752837658,,,,,,,,,,,,
2403,topk,4,2,0.011058496311306953,0.015530952252447605,4.0,2.0380859375,0.7303318977355957,0.0625,0.41088467836380005,0.6227927803993225,7.677056035026908,,,,,,,,,,,,
2403,l1,0.001,0,0.00020863702229689807,0.01024886965751648,15.9326171875,2.0380859375,0.6801409721374512,0.0,0.22652429342269897,3.078310012817383,6.784039166755974,,,,,,,,,,,,
2403,vg_learned,4.0,2,0.039868179708719254,0.03415312618017197,0.849609375,2.0380859375,0.8681602478027344,0.625,0.4093675911426544,0.46336978673934937,10.527699211612344,1.1110942363739014,0.849609375,15.566162109375,0.030079655349254608,0.04349783807992935,0.05367272347211838,0.05367272347211838,1.5444419384002686,23.287540435791016,2.001999616622925,4.734776496887207,0.39348989725112915
2403,vg_profiled,4.0,2,0.04659462347626686,0.04055142402648926,0.760009765625,2.0380859375,0.7925713062286377,0.5,0.3615740239620209,0.5676695108413696,10.827255848795176,1.1334086656570435,0.760009765625,15.779052734375,0.0357368066906929,0.051407553255558014,0.06268299371004105,0.06268299371004105,1.9750337600708008,19.452392578125,-9.022880554199219,4.824033737182617,0.49872320890426636
2403,vg_no_variance,0.0,0,1.0704869031906128,1.0772839784622192,11.44384765625,2.0380859375,0.7056560516357422,0.0,0.2219405323266983,11.566302299499512,10.356991318054497,9.588361740112305,11.44384765625,16.0,0.0001523996761534363,1.3871045112609863,5.547808647155762,0.0,9.543608665466309,6561.6943359375,-33.60927200317383,11.090354919433594,3.278064012527466
2403,l1,0.01,1,0.000864422763697803,0.010017172433435917,10.8759765625,2.0380859375,0.6454766988754272,0.0,0.268148809671402,1.075352668762207,6.205050901509821,,,,,,,,,,,,
2403,vg_no_entropy,0.0,0,0.00032450543949380517,0.010055359452962875,13.053466796875,2.0380859375,0.7634086012840271,0.0625,0.23133543133735657,21.085636138916016,11.372239517979324,13.049434661865234,13.053466796875,15.79541015625,0.0003072587714996189,0.00037153292214497924,0.0002570965443737805,0.0002570965443737805,1.3760020732879639,2691.551513671875,-20.501136779785156,11.090354919433594,0.42020657658576965
