seed,method,control,batch_size,full_profile_gaussian,mean_batch_profile_gaussian,jensen_gap,beta_mean,beta_std,beta_full,floor_active
2403,vg_no_entropy,2.0,16,-11.770079612731934,-11.89251708984375,0.1224374771118164,20.122507095336914,4.7326250076293945,18.963571548461914,False
2403,vg_no_entropy,2.0,256,-11.770079612731934,-11.777998924255371,0.0079193115234375,19.038225173950195,1.180454134941101,18.963571548461914,False
2403,vg_learned,4.0,16,-12.464862823486328,-12.552538871765137,0.0876760482788086,23.53990936279297,4.701857566833496,22.560842514038086,False
2403,vg_learned,4.0,256,-12.464862823486328,-12.471237182617188,0.006374359130859375,22.63356590270996,1.3022472858428955,22.560842514038086,False
2403,vg_profiled,4.0,16,-11.83619499206543,-11.91814136505127,0.08194637298583984,20.065902709960938,3.920426607131958,19.279621124267578,False
2403,vg_profiled,4.0,256,-11.83619499206543,-11.843403816223145,0.007208824157714844,19.348705291748047,1.1438050270080566,19.279621124267578,False
2403,vg_no_variance,0.0,16,-34.144920349121094,-36.00301742553711,1.8580970764160156,10164.1181640625,5393.60205078125,5096.095703125,False
2403,vg_no_variance,0.0,256,-34.144920349121094,-34.316184997558594,0.1712646484375,5572.13623046875,1766.193115234375,5096.095703125,False
2403,vg_no_entropy,0.0,16,-31.67635726928711,-33.04313659667969,1.3667793273925781,4775.41357421875,2668.86279296875,2749.26611328125,False
2403,vg_no_entropy,0.0,256,-31.67635726928711,-31.76065444946289,0.08429718017578125,2868.34765625,595.9378662109375,2749.26611328125,False
2403,vg_profiled,0.0,16,-15.089090347290039,-15.466758728027344,0.3776683807373047,50.027366638183594,11.53186321258545,43.478755950927734,False
2403,vg_profiled,0.0,256,-15.089090347290039,-15.110733032226562,0.021642684936523438,43.95332336425781,4.593860626220703,43.478755950927734,False
2403,vg_no_variance,2.0,16,-33.08899688720703,-36.036865234375,2.9478683471679688,10951.466796875,6931.6171875,3913.74365234375,False
2403,vg_no_variance,2.0,256,-33.08899688720703,-33.60633850097656,0.5173416137695312,5000.3671875,2356.563232421875,3913.74365234375,False
2403,vg_learned,0.0,16,-15.522579193115234,-15.8927001953125,0.3701210021972656,55.486793518066406,12.256702423095703,48.455448150634766,False
2403,vg_learned,0.0,256,-15.522579193115234,-15.541093826293945,0.018514633178710938,48.90101623535156,4.5948638916015625,48.455448150634766,False
2403,vg_no_variance,4.0,16,-29.672893524169922,-31.80722999572754,2.134336471557617,3729.615234375,2368.14794921875,1666.070556640625,False
2403,vg_no_variance,4.0,256,-29.672893524169922,-29.96524429321289,0.29235076904296875,1918.1263427734375,668.507080078125,1666.070556640625,False
2403,vg_profiled,2.0,16,-13.50117301940918,-13.639686584472656,0.13851356506347656,30.989334106445312,5.875500679016113,29.232851028442383,False
2403,vg_profiled,2.0,256,-13.50117301940918,-13.508724212646484,0.0075511932373046875,29.343172073364258,1.7941197156906128,29.232851028442383,False
2403,vg_learned,2.0,16,-13.816628456115723,-13.952716827392578,0.13608837127685547,33.487728118896484,6.2222065925598145,31.63161277770996,False
2403,vg_learned,2.0,256,-13.816628456115723,-13.821792602539062,0.005164146423339844,31.713943481445312,1.633123517036438,31.63161277770996,False
2403,vg_no_entropy,4.0,16,-7.963149547576904,-8.184792518615723,0.22164297103881836,8.169657707214355,2.7398571968078613,7.321295738220215,False
2403,vg_no_entropy,4.0,256,-7.963149547576904,-7.9726762771606445,0.009526729583740234,7.356785297393799,0.5235069394111633,7.321295738220215,False
2401,vg_no_entropy,2.0,16,-12.525148391723633,-12.630461692810059,0.10531330108642578,24.130990982055664,5.571831703186035,22.903438568115234,False
2401,vg_no_entropy,2.0,256,-12.525148391723633,-12.528663635253906,0.0035152435302734375,22.943397521972656,0.9460716247558594,22.903438568115234,False
2401,vg_learned,4.0,16,-12.202516555786133,-12.289786338806152,0.08726978302001953,22.066320419311523,4.655820846557617,21.12863540649414,False
2401,vg_learned,4.0,256,-12.202516555786133,-12.208745002746582,0.006228446960449219,21.195144653320312,1.2039819955825806,21.12863540649414,False
